License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Medical Licence	https://regulations.justia.com/states/new-jersey/title-13/chapter-35/subchapter-3/section-13-35-3-11/	Explicit Graduate/Professional	"To be eligible for a New Jersey license by examination, an applicant who has graduated from an international medical school..."; "...evaluation of medical education leading to an M.D. or D.O. degree..."; "...has received a medical degree from a medical school..."	The regulations repeatedly state that applicants must have graduated from a medical school and obtained an M.D. or D.O. degree, which is a professional graduate degree, to be eligible for licensure.	0.9	1,234.00
Medical Licence	https://regulations.justia.com/states/new-jersey/title-13/chapter-35/subchapter-3/section-13-35-3-6/	Explicit Graduate/Professional	"...such person is certified by a national accrediting board in one of the above specialties, which board requires a doctorate degree plus experience..."; "The Board shall grant to any person licensed in this State to practice medicine and surgery..."	Licensure is limited to individuals already licensed to practice medicine and who hold certification from boards that explicitly require a doctorate; therefore a graduate/professional degree (MD/DO or equivalent doctorate) is expressly mandated.	0.9	1,232.00
Medical Licence	https://www.tmb.state.tx.us/page/interstate-medical-licensure-compact	Explicit Graduate/Professional	“Have graduated from an accredited medical school, or a school listed in the International Medical Education Directory.”	The text expressly requires applicants to have graduated from a medical school, which confers a professional doctoral degree (MD or DO); this is a clear, explicit graduate/professional education requirement for initial licensure.	0.9	1,231.00
Medical Licence	https://law.justia.com/codes/new-jersey/2018/title-45/chapter-9/section-45-9-8/	Explicit Graduate/Professional	"...prove to the board that the applicant has received (a) a diploma from some legally incorporated professional school or college..." ; "...which courses shall have included a thorough and satisfactory course of instruction in medicine and surgery;"	Applicants must present a diploma from a professional medical school, which is an explicit requirement for a graduate/professional degree (MD/DO) before licensure.	0.9	1,230.00
Medical Licence	https://njms.rutgers.edu/education/gme/documents/NJMedicalLicApp.pdf	Explicit Graduate/Professional	"Name of institution conferring degree: ... Type (circle one): Medical Doctor or Doctor of Osteopathy"; "Did this physician graduate from this medical school?"	The application explicitly requires the applicant to have been awarded a Medical Doctor (MD) or Doctor of Osteopathy (DO) degree, which is a professional doctorate, demonstrating an explicit graduate/professional degree prerequisite for licensure.	0.92	1,211.00
Medical Licence	https://regulations.justia.com/states/new-jersey/title-13/chapter-35/subchapter-3/section-13-35-3-7/	Explicit Graduate/Professional	“Exempt physician” means a person holding the academic degree of M.D. or D.O.	The regulation explicitly states that an individual must possess the professional doctorate degree of M.D. or D.O., which is a graduate/professional degree, to fall within the category approaching licensure.	0.9	1,188.00
Medical Licence	https://dellmed.utexas.edu/education/academics/undergraduate-medical-education/professional-licensure-disclosures	Explicit Graduate/Professional	“Completion of The University of Texas Austin’s -accredited M.D. program at Dell Medical School meets educational degree requirements to apply for a Doctor of Medicine (M.D.) license in New Jersey.”	The text states that graduation from an LCME-accredited M.D. program (a professional doctoral degree) satisfies New Jersey’s educational requirement for licensure, making the minimum requirement an explicit graduate/professional degree.	0.92	1,165.00
Professional Librarian	https://info.csc.nj.gov/jobannouncements/DefaultJobAnnouncement/ViewCompetitiveJobDescription?guid=42252&md=1	Explicit Graduate/Professional	"EDUCATION: A Master's degree in Library or Information Science in a library program accredited by the American Library Association..."	The text explicitly states that applicants must hold a Master’s degree in Library or Information Science, which is a graduate-level credential.	0.9	1,129.00
Medical Licence	https://osteopathic.org/wp-content/uploads/2023-State-Licensure-Requirements.pdf	Explicit Graduate/Professional	Educational Requirements: have graduated from a board approved osteopathic college.	The text explicitly states that applicants must graduate from an osteopathic medical college, which confers a DO professional doctorate, meeting the definition of a graduate/professional degree requirement.	0.9	1,143.00
School Social Worker Certificate	https://www.nj.gov/education/certification/edsrvs/	Implicit Bachelor's	"you must hold the appropriate degree" … "All credits and degrees must appear on an accredited four-year college or university transcript."	While no specific degree title is named, the requirement that the candidate’s credits and degree come from an "accredited four-year college or university" implies completion of at least a bachelor-level program (associate-level community-college credentials would not satisfy this), so the minimum educational level is implicitly a bachelor's degree.	0.68	1,129.00
